product-image,product-name,product-price
https://product.hstatic.net/1000304920/product/nhac-phim-footloose-ost-dia-cd_36f94db5e72c449898e11c47ce2c3886_grande.jpeg,NHẠC PHIM - FOOTLOOSE OST - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/the-killers-direct-hits-dia-cd_16d579fd0f584f918ddaf739338da157_grande.jpeg,THE KILLERS - DIRECT HITS - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/snoop-dog-the-best-of-snoop-dog-dia-cd_beefbf4fb88540a2b85057911a6ad65a_grande.jpeg,SNOOP DOG - THE BEST OF SNOOP DOG - ĐĨA CD,"400,000₫"
https://product.hstatic.net/1000304920/product/nhac-phim-pretty-woman-ost-dia-cd_19f7f4904b9740df83dd234d0f72f6be_grande.jpeg,NHẠC PHIM - PRETTY WOMAN OST - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/n-w-a-straight-outta-compton-di-a-cd_74c26c09da34433ca2266cbf21e89bf8_grande.jpeg,N.W.A - STRAIGHT OUTTA COMPTON: 20TH ANNIVERSARY EDITION - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/fleetwood-mac-fleetwood-mac-dia-cd_01da8538420e48958d8db0d4e8c694d8_grande.jpeg,FLEETWOOD MAC - FLEETWOOD MAC - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/dzung-2025-digital-cover-small_94c54571d4a34f22b14d96e8d5bc1f93_grande.jpg,DZUNG – “2025´ - HAY KHÔNG HAY LẮM” (DOUBLE DISC) - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/weezer-maladroit-vinyl-lp-dia-than_069a087c763b4c9a8a40f8da4483ede6_grande.jpg,WEEZER - MALADROIT (VINYL LP) - ĐĨA THAN,"850,000₫"
https://product.hstatic.net/1000304920/product/kid-cudi-man-on-the-moon-iii-the-chosen-vinyl-lp-dia-than_4e480bee6866424796dbb927b77553be_grande.jpg,KID CUDI - MAN ON THE MOON III: THE CHOSEN (VINYL LP) - ĐĨA THAN,"850,000₫"
https://product.hstatic.net/1000304920/product/george-michael-faith-dia-cd_1ea1a67cee1a4d6390c0f86975ec8c26_grande.jpeg,GEORGE MICHAEL - FAITH - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/ab67616d0000b2733b812eed53f0d7e134fe446e_c4482bbfe10c4077a55ed363797c4244_grande.jpeg,BOB DYLAN - THE TIMES THEY ARE A-CHANGIN' - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/santana-the-best-of-santana-dia-cd_baaa3cc0fbb54a659c3007ccf579ad34_grande.jpeg,SANTANA - THE BEST OF SANTANA - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/j.ade-continuum_album_b210a9f41ae6418e98444947cb585c58_grande.jpg,J.ADE - CONTINUUM - ĐĨA CD,"300,000₫"
https://product.hstatic.net/1000304920/product/dmx-exodus-vinyl-lp-dia-than_5280792c01e84d78a410770a7bb11a88_grande.jpeg,DMX - EXODUS (VINYL LP) - ĐĨA THAN,"850,000₫"
https://product.hstatic.net/1000304920/product/simon-garfunkel-the-best-of-simon-garfunkel-dia-cd_ac4de6103adc43359001d5108b5f5f6d_grande.jpg,SIMON & GARFUNKEL - THE BEST OF SIMON & GARFUNKEL - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/john-denver-16-biggest-hits-dia-cd_65d895d367b44845a80453e2a031d9ed_grande.jpg,JOHN DENVER - 16 BIGGEST HITS - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/mariah-carey-rainbow-25th-anniversary-rainbow-vinyl-lp-dia-than_de06be8997c54f40baff96d3d8736b75_grande.jpg,MARIAH CAREY - RAINBOW (25TH ANNIVERSARY RAINBOW VINYL LP) - ĐĨA THAN,"1,650,000₫"
https://product.hstatic.net/1000304920/product/james-blunt-back-to-bedlam-20th-anniversary-red-vinyl-lp-dia-than_f76fb9c384df407ca0b6d410398b1305_grande.jpg,JAMES BLUNT - BACK TO BEDLAM (20TH ANNIVERSARY RED VINYL LP) - ĐĨA THAN,"900,000₫"
https://product.hstatic.net/1000304920/product/inem-the-death-of-slim-shady-coup-de-grace-red-blue-vinyl-2lp-dia-than_229d490a55ec4ce4a614e7934f14935a_grande.jpg,EMINEM - THE DEATH OF SLIM SHADY (COUP DE GRÂCE) (RED/BLUE VINYL 2LP) - ĐĨA THAN,"1,300,000₫"
https://product.hstatic.net/1000304920/product/coldplay-moon-music-translucent-pink-vinyl-lp-dia-than_7f4ee62dd46044dea4a8dce3f698c24e_grande.png,COLDPLAY - MOON MUSIC (TRANSLUCENT PINK VINYL LP) - ĐĨA THAN,"950,000₫"
https://product.hstatic.net/1000304920/product/same-but-there-s-three-more-songs-so-it-s-not-white-vinyl-2lp-dia-than_ea882ac43e5844d3b1d8c3642b408c75_grande.jpg,CHARLI XCX - BRAT AND IT'S THE SAME BUT THERE'S THREE MORE SONGS SO IT'S NOT (WHITE VINYL 2LP) - ĐĨA THAN,"1,300,000₫"
https://product.hstatic.net/1000304920/product/brat-and-it-s-the-same-but-there-s-three-more-songs-so-it-s-not-dia-cd_7bbdf7327f1047a798606a2fed13fd79_grande.jpg,CHARLI XCX - BRAT AND IT'S THE SAME BUT THERE'S THREE MORE SONGS SO IT'S NOT - ĐĨA CD,"450,000₫"
https://product.hstatic.net/1000304920/product/-the-rise-and-fall-of-a-midwest-princess-popstar-edition-bang-cassette_d7dc1d41d0fe4db18fe3a0c15ea8ea90_grande.png,CHAPPELL ROAN - THE RISE AND FALL OF A MIDWEST PRINCESS: POPSTAR EDITION - BĂNG CASSETTE,"450,000₫"
https://product.hstatic.net/1000304920/product/trung_quan-bui_anh_tuan-b.u.i-ep_cover_c547b4f2891046638be0cab928e34dd5_grande.jpg,TRUNG QUÂN X BÙI ANH TUẤN - B.U.I (EP) - ĐĨA CD,"300,000₫"
